example	zero-poss	zero-copula	double-tense	be-construction	resultant-done	finna	come	double-modal	multiple-neg	neg-inversion	n-inv-neg-concord	aint	zero-3sg-pres-s	is-was-gen	zero-pl-s	double-object	wh-qu
No one you can't go against the wave.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No you can't go against the wave.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No one I can't go against the wave.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
that cause no one wouldn't tell	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
that - no one wouldn't tell	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
that, cause no one wouldn't tell	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
that cause one wouldn't tell	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cause that one wouldn't tell	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
want much, nobody didn't want much but my	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
want much, nobody didn't want to much but my	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
want much, nobody didn't want much my	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
want much, we didn't want much but my	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
want much, nobody I didn't want much but my	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
want much, didn't want much but my	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
coming to work nobody couldn't tell that when	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
go to work nobody couldn't tell that when	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
coming to work if nobody couldn't tell that when	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
coming to work nobody I couldn't tell that when	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
coming go to work, couldn't tell that when	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
coming to work just couldn't tell that when	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
like nah, man way he walk,	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
like, nah, man way he walk,	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
like nah, I man way he walk,	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
like nah, man way he,	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
like nah, man the way he,	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
like nah, man way, he	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
My boy think every black girl like Gabrielle Union.	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
My boy think every black girl was like Gabrielle Union.	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
My boy think every like black Gabrielle Union.	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
My boy every black girl like Gabrielle Union.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
My boy I think every girl like Gabrielle Union.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
My I think every girl like Gabrielle Union.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
But the plot always involve a female, bruh.	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
But the plot always involve a, bruh.	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
But the plot always involve female, bruh.	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
But the always involve a female, bruh.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
But the plot always had a female, bruh.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
But the plot always a female, bruh.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I don't know if it count.	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
I don't know it count.	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
don't know if it count.	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
I don't know if do it.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I don't know if of it.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I don't know if it.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
it's like she pay her bill, she got her job, she bust her ass, she 	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
it's like she pay me her bill, she got her job, she bust her ass, she 	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
it's like she pay her bill, and she got her job, she bust her ass, she 	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
it's like she her bill, she got her job, she was bust her ass, she	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I surely believe they is.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
, I believe they is.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
I believe they is.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
I surely is that they.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I surely believe It is.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I surely they believe in.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
They is die hard Laker fans.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
They is die hard Laker.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
They is hard Laker fans.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
They family is die hard Laker fans.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
They die hard Laker fans.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
got 'em when they was getting new ones	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
got 'em they was getting new ones	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
got 'em when they was like new ones	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
got 'em when I was getting new ones	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
got 'em when they were getting new ones	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
got 'em when they he was getting new ones	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
back cause telephones wasn't in use.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
back cause telephones wasn't in DC.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
back telephones wasn't in use.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
back cause telephones It wasn't in use.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
back cause telephones didn't in use.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
back cause telephone I wasn't in use.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
how old you is?	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
how you is?	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
how old is you crying?	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
how old you do?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
how old you know?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
how old were you?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
they changed about two or three time we were there.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
they changed about two or three time we there were.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
they changed about two or three time, we were.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
they changed about two or three times time we were there.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
they changed about two or three when we were there.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
they changed about two or the time we were there.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
About four or five month.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
About or five month.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
About five or six month.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
About four or five years.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
About four or month.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
About four or five.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
We only had two elementary school.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
We only had two school.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
We only had two high school.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
We only had in elementary school.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
We only had elementary school.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
We only had two in elementary school.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I think it's about five church in Princeville.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
I think it That's five church in Princeville.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
I think it's about five church in to Princeville.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
I think it's about in church, Princeville.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I think it's about five or in Princeville.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I think it's talk about church in Princeville.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
everything was ten, fifteen cent, you know	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
everything was ten, fifteen cent, you	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
I was ten, fifteen cent, you know	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
everything was ten, fifteen, twenty you know	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
everything was ten, fifteen, you know	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
everything was ten, fifteen, you know, know	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Took about six month.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Took me six month.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Took six month.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Took about six month span.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Took about month.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Took about six months.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I got me my own car and	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
I got me my own and	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
I got me my own car, and	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
I got my own car and	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I got to my own car and	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
me but I got my own car and	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
had to have me a dog.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
had to have me a little.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
had to have me a mixed dog.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
you have to me a dog.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
had to have give me a.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
had to I have a dog.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soon as you get you some Scrabble tiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
soon as you get you some Scrabble, tiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
as you get you some Scrabble tiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
soon as you know, get some Scrabble tiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
soon as you did you get some Scrabble tiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
as soon as get you some Scrabble tiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I decided I wanted me a job that	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
I decided I wanted me that was a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
I decided I wanted me a little that	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
I decided I wanted to a job that	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I decided I wanted tell me a that	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I decided, I wanted a job that	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
so we had us a couple of beers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
so we had us for a couple of beers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
so we had us to a couple of beers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
so we had a couple of beers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
so we of us had a couple of beers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
so, we had a couple of beers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
What you was gonna- If it was a girl, what you were gonna name	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
What you was gonna- If it was a good girl, what you were gonna name	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
you was gonna- If it was a girl, what you were gonna name	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
you was gonna- If it was a girl, what were gonna name	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
What they was doing? 	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
What they was doing	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
What they doing?	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
What was that doing?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
What was doing?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Why those people don't want to take that car?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Why those people don't want to do that car?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Why those people don't want to say that car?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
of those people don't want to take that car?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
those people that don't want to take that car?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Why of people don't want to take that car?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atlanta music, who you feeling right now?	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
about Atlanta music, who you feeling right now?	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
the music, who you feeling right now?	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Atlanta music, you know who right now?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atlanta, who was you feeling right now?	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Atlanta music, you decide who right now?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
What we gonna do? 	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
What we to do?	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
What you gonna do? 	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
What are we gonna do?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
What gonna do?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
we gonna do?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
